Mach,CD Power-Off
10.44,0.335346237
10.45,0.3353154
10.46,0.33528464
10.47,0.335253935
10.48,0.335223316
10.49,0.335192753
10.5,0.335162254
10.51,0.335131839
10.52,0.335101481
10.53,0.335071186
10.54,0.335040966
10.55,0.33501081
10.56,0.334980728
10.57,0.334950699
10.58,0.334920744
10.59,0.334890862
10.6,0.334861032
10.61,0.334831276
10.62,0.334801583
10.63,0.334771961
10.64,0.334742404
10.65,0.334712907
10.66,0.334683471
10.67,0.334654108
10.68,0.334624807
10.69,0.334595567
10.7,0.334566397
10.71,0.334537288
10.72,0.33450824
10.73,0.334479254
10.74,0.334450337
10.75,0.33442148
10.76,0.334392683
10.77,0.334363744
10.78,0.334333848
10.79,0.334304009
10.8,0.33427424
10.81,0.334244549
10.82,0.334214919
10.83,0.334185345
10.84,0.334155852
10.85,0.334126425
10.86,0.334097057
10.87,0.334067767
10.88,0.334038535
10.89,0.334009369
10.9,0.333980272
10.91,0.333951242
10.92,0.333922269
10.93,0.333893361
10.94,0.333864532
10.95,0.333835758
10.96,0.333807041
10.97,0.3337784
10.98,0.333749824
10.99,0.333721305
11,0.333692851
11.01,0.333664462
11.02,0.333636139
11.03,0.333607872
11.04,0.333579668
11.05,0.33355153
11.06,0.333523457
11.07,0.333495447
11.08,0.333467491
11.09,0.3334396
11.1,0.333411774
11.11,0.333384009
11.12,0.33335631
11.13,0.333328663
11.14,0.33330108
11.15,0.333273561
11.16,0.333246092
11.17,0.333218688
11.18,0.333191356
11.19,0.333164078
11.2,0.33313685
11.21,0.333109685
11.22,0.333082581
11.23,0.333055541
11.24,0.333028561
11.25,0.333001634
11.26,0.332974765
11.27,0.33294796
11.28,0.332921207
11.29,0.332894513
11.3,0.33286788
11.31,0.332841307
11.32,0.332814786
11.33,0.332788324
11.34,0.332761922
11.35,0.33273557
11.36,0.33270929
11.37,0.332683047
11.38,0.332656874
11.39,0.332630752
11.4,0.332604689
11.41,0.332578683
11.42,0.332552727
11.43,0.33252683
11.44,0.332500993
11.45,0.332475212
11.46,0.33244948
11.47,0.332423797
11.48,0.332398172
11.49,0.332372614
11.5,0.332347106
11.51,0.332321643
11.52,0.332296239
11.53,0.332270892
11.54,0.332245592
11.55,0.33222035
11.56,0.332195163
11.57,0.332170025
11.58,0.332144942
11.59,0.332119917
11.6,0.332094937
11.61,0.332070016
11.62,0.332045149
11.63,0.332020327
11.64,0.331995563
11.65,0.331970843
11.66,0.331946189
11.67,0.331921571
11.68,0.331897018
11.69,0.331872511
11.7,0.331848049
11.71,0.331823651
11.72,0.331799297
11.73,0.331774989
11.74,0.331750735
11.75,0.331726536
11.76,0.331702381
11.77,0.331678281
11.78,0.331654224
11.79,0.331630232
11.8,0.331606272
11.81,0.331582377
11.82,0.331558526
11.83,0.331534717
11.84,0.331510961
11.85,0.331487259
11.86,0.331463601
11.87,0.331439996
11.88,0.331416442
11.89,0.331392931
11.9,0.331369463
11.91,0.331346048
11.92,0.331322685
11.93,0.331299363
11.94,0.331276104
11.95,0.331252877
11.96,0.331229702
11.97,0.331206578
11.98,0.331183497
11.99,0.331160455
12,0.331137477
12.01,0.331114528
12.02,0.331091641
12.03,0.331068797
12.04,0.331046002
12.05,0.331023247
12.06,0.331000534
12.07,0.330977871
12.08,0.330955259
12.09,0.330932686
12.1,0.330910164
12.11,0.330887683
12.12,0.330865251
12.13,0.330842858
12.14,0.330820516
12.15,0.330798224
12.16,0.330775971
12.17,0.330753757
12.18,0.330731592
12.19,0.330709478
12.2,0.330687401
12.21,0.330665375
12.22,0.330643386
12.23,0.330621437
12.24,0.330599535
12.25,0.330577684
12.26,0.33055587
12.27,0.330534104
12.28,0.330512377
12.29,0.330490697
12.3,0.330469056
12.31,0.330447463
12.32,0.330425908
12.33,0.33040439
12.34,0.33038292
12.35,0.330361497
12.36,0.330340113
12.37,0.330318775
12.38,0.330297474
12.39,0.33027622
12.4,0.330255004
12.41,0.330233825
12.42,0.330212691
12.43,0.330191605
12.44,0.330170555
12.45,0.330149553
12.46,0.330128586
12.47,0.330107655
12.48,0.330086771
12.49,0.330065932
12.5,0.33004512
12.51,0.330024364
12.52,0.330003633
12.53,0.329982958
12.54,0.32996232
12.55,0.329941716
12.56,0.329921157
12.57,0.329900635
12.58,0.329880147
12.59,0.329859704
12.6,0.329839307
12.61,0.329818944
12.62,0.329798618
12.63,0.329778334
12.64,0.329758085
12.65,0.329737882
12.66,0.329717713
12.67,0.329697588
12.68,0.329677496
12.69,0.32965744
12.7,0.329637428
12.71,0.329617459
12.72,0.329597525
12.73,0.329577624
12.74,0.329557767
12.75,0.329537944
12.76,0.329518155
12.77,0.329498409
12.78,0.329478706
12.79,0.329459026
12.8,0.3294394
12.81,0.329419807
12.82,0.329400246
12.83,0.32938072
12.84,0.329361235
12.85,0.329341794
12.86,0.329322375
12.87,0.329303008
12.88,0.329283664
12.89,0.329264363
12.9,0.329245105
12.91,0.329225877
12.92,0.329206683
12.93,0.32918753
12.94,0.32916841
12.95,0.329149322
12.96,0.329130275
12.97,0.32911127
12.98,0.329092287
12.99,0.329073345
13,0.329054444
13.01,0.329035565
13.02,0.329016738
13.03,0.328997932
13.04,0.328979166
13.05,0.328960442
13.06,0.328941749
13.07,0.328923087
13.08,0.328904467
13.09,0.328885875
13.1,0.328867316
13.11,0.328848797
13.12,0.328830309
13.13,0.32881185
13.14,0.328793442
13.15,0.328775056
13.16,0.328756708
13.17,0.328738391
13.18,0.328720104
13.19,0.328701857
13.2,0.32868364
13.21,0.328665453
13.22,0.328647315
13.23,0.328629198
13.24,0.32861112
13.25,0.328593071
13.26,0.328575051
13.27,0.328557071
13.28,0.328539121
13.29,0.3285212
13.3,0.328503317
13.31,0.328485474
13.32,0.328467651
13.33,0.328449865
13.34,0.328432108
13.35,0.328414391
13.36,0.328396702
13.37,0.328379042
13.38,0.32836142
13.39,0.328343827
13.4,0.328326263
13.41,0.328308736
13.42,0.328291238
13.43,0.328273778
13.44,0.328256337
13.45,0.328238933
13.46,0.328221567
13.47,0.328204219
13.48,0.32818692
13.49,0.328169638
13.5,0.328152393
13.51,0.328135176
13.52,0.328117996
13.53,0.328100845
13.54,0.328083721
13.55,0.328066625
13.56,0.328049564
13.57,0.328032533
13.58,0.328015537
13.59,0.327998569
13.6,0.327981628
13.61,0.327964714
13.62,0.327947837
13.63,0.327930986
13.64,0.327914173
13.65,0.327897386
13.66,0.327880626
13.67,0.327863892
13.68,0.327847194
13.69,0.327830523
13.7,0.327813879
13.71,0.32779727
13.72,0.327780689
13.73,0.327764133
13.74,0.327747613
13.75,0.32773112
13.76,0.327714651
13.77,0.32769822
13.78,0.327681814
13.79,0.327665435
13.8,0.327649079
13.81,0.327632761
13.82,0.327616468
13.83,0.32760021
13.84,0.327583977
13.85,0.327567771
13.86,0.32755159
13.87,0.327535433
13.88,0.327519323
13.89,0.327503227
13.9,0.327487156
13.91,0.327471121
13.92,0.32745512
13.93,0.327439134
13.94,0.327423183
13.95,0.327407248
